Index;surface_yz.min(epsX) [%];surface_yz.max(epsX) [%];surface_yz.avg(epsX) [%];surface_yz.min(epsY) [%];surface_yz.max(epsY) [%];surface_yz.avg(epsY) [%];surface_yz.min(patQ) [];surface_yz.max(patQ) [];surface_yz.avg(patQ) []
86;-2.351608;-1.223871;-1.757641;3.679480;4.814596;4.204642;3.510394;7.441417;5.203258
87;-2.117187;-0.965767;-1.498075;3.048392;4.141523;3.558274;3.482835;7.350394;5.200966
88;-2.408643;-1.241763;-1.788073;3.762820;4.911110;4.299764;3.455905;7.179842;5.197994
89;-2.157215;-0.985822;-1.530952;3.132819;4.253923;3.654573;3.494961;7.365669;5.204064
90;-2.447030;-1.250737;-1.818389;3.851449;5.026069;4.401209;3.482362;7.089921;5.199026
91;-2.201747;-1.008476;-1.564344;3.205279;4.354220;3.749504;3.574488;7.240630;5.206280
92;-2.491061;-1.271163;-1.848177;3.944651;5.122421;4.497469;3.501575;7.201260;5.194603
93;-2.261468;-1.035634;-1.597634;3.283957;4.455987;3.845319;3.488976;7.011339;5.204913
94;-2.552204;-1.299233;-1.885879;4.035684;5.241327;4.597206;3.494331;7.364094;5.202404
95;-2.311106;-1.060084;-1.632127;3.374976;4.568499;3.940473;3.436220;7.412756;5.199972
96;-2.609870;-1.331989;-1.918268;4.120776;5.345202;4.692261;3.384094;7.399212;5.199432
97;-2.343957;-1.084003;-1.663786;3.457133;4.679687;4.035260;3.525984;7.065354;5.197876
98;-2.647684;-1.356701;-1.949938;4.210441;5.463785;4.793032;3.509134;7.201890;5.193279
99;-2.385943;-1.118510;-1.697508;3.545601;4.782548;4.132626;3.537480;7.397795;5.202184
100;-2.693483;-1.396792;-1.981307;4.298342;5.570580;4.890374;3.400000;7.214961;5.192887
101;-2.437058;-1.140298;-1.732055;3.636185;4.879790;4.228746;3.480945;7.452756;5.193669
