stage,eps_xx_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yx_mean_in_mBtG,eps_xx_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yx_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.002235,-0.000649,3.440494
5,nan,nan,nan,-0.000250,-0.011389,-0.021958
7,0.091270,-1.752526,0.052079,0.029662,-0.007439,3.987278
9,0.061790,-1.831270,0.033741,0.012250,-0.038081,0.321673
11,0.088782,-1.894849,0.046854,0.020457,-0.017930,1.140954
13,0.076640,-1.924618,0.039821,0.013028,-0.012194,1.068360
15,0.089275,-1.939402,0.046032,0.019930,-0.036018,0.553336
17,0.090803,-1.939211,0.046825,0.016728,-0.040688,0.411120
19,0.097342,-1.887986,0.051559,0.013117,-0.065504,0.200246
21,0.093017,-1.878727,0.049510,0.014879,-0.077836,0.191160
23,0.080833,-1.834630,0.044060,0.009623,-0.113421,0.084843
25,0.080407,-1.830820,0.043919,0.020420,-0.125526,0.162673
27,0.084520,-1.820532,0.046426,0.014386,-0.141535,0.101645
29,0.109621,-1.830998,0.059870,0.030384,-0.148162,0.205071
31,0.087945,-1.806005,0.048696,0.033896,-0.179748,0.188573
33,0.098701,-1.789259,0.055163,0.027464,-0.203062,0.135247
35,0.103119,-1.777785,0.058004,0.021130,-0.218896,0.096531
37,0.108328,-1.782636,0.060768,0.021984,-0.243238,0.090379
39,0.097340,-1.697220,0.057353,0.026233,-0.172954,0.151678
41,0.097020,-1.703954,0.056938,0.011974,-0.094632,0.126532
43,0.098138,-1.739796,0.056408,0.007840,-0.093620,0.083740
45,0.109815,-1.741900,0.063043,-0.004465,-0.099601,-0.044830
47,0.108021,-1.742595,0.061988,0.001942,-0.072749,0.026695
49,0.115710,-1.894950,0.061062,0.055197,-0.519914,0.106165
51,0.109538,-1.831608,0.059804,nan,nan,nan
53,0.134492,-1.992854,0.067487,nan,nan,nan
55,0.154388,-2.076919,0.074335,nan,nan,nan
57,0.174220,-2.203344,0.079071,nan,nan,nan
59,0.166126,-2.334393,0.071165,nan,nan,nan
61,0.187890,-2.491512,0.075412,nan,nan,nan
63,0.203821,-2.555838,0.079747,nan,nan,nan
65,0.212598,-2.665614,0.079756,nan,nan,nan
67,0.244482,-2.765093,0.088417,nan,nan,nan
69,0.246050,-2.860494,0.086017,nan,nan,nan
71,0.261242,-2.926870,0.089257,nan,nan,nan
73,0.283624,-3.038425,0.093346,nan,nan,nan
75,0.287768,-3.119452,0.092250,nan,nan,nan
77,0.313992,-3.230868,0.097185,nan,nan,nan
79,0.336987,-3.324276,0.101372,nan,nan,nan
81,0.354134,-3.415233,0.103693,nan,nan,nan
83,0.376094,-3.501187,0.107419,nan,nan,nan
85,0.397263,-3.587301,0.110741,nan,nan,nan
87,0.402984,-3.679947,0.109508,nan,nan,nan
89,0.417722,-3.767434,0.110877,nan,nan,nan
91,0.451635,-3.848213,0.117362,nan,nan,nan
93,0.466428,-3.946278,0.118195,nan,nan,nan
95,0.470247,-4.022440,0.116906,nan,nan,nan
97,0.497563,-4.131583,0.120429,nan,nan,nan
99,0.517759,-4.233810,0.122291,nan,nan,nan
