eps_xx,eps_yy
0.163000,-1.001600
0.158600,-1.677500
0.089500,-1.872900
0.016600,-2.025700
0.222900,-2.197400
0.103400,-2.214900
-0.102300,-2.038100
-0.159300,-2.000100
-0.037900,-2.049600
0.157600,-2.205400
0.138000,-2.191200
0.045800,-2.078600
0.001700,-2.002400
0.017900,-1.958200
0.079800,-2.011600
0.135200,-2.131200
0.120400,-1.730800
-0.014900,-1.424700
0.059400,-1.041500
-0.146300,-1.805300
-0.081800,-2.056800
-0.039600,-1.857000
-0.017900,-1.911900
0.115800,-2.102000
0.063000,-2.108100
0.196400,-2.098600
0.001500,-2.155500
0.240700,-2.030100
0.185400,-1.873800
0.082900,-1.815300
0.233800,-1.980400
0.147400,-2.140800
0.045000,-2.124600
0.054100,-1.981800
0.152600,-1.850200
0.335500,-1.703900
0.238000,-1.101800
0.300600,-1.015900
0.392100,-1.650000
0.408800,-1.635800
0.406500,-1.782100
0.349800,-2.000500
0.261300,-1.895900
0.337400,-1.851100
0.282400,-1.834500
0.269400,-1.758000
0.301100,-1.880200
0.364100,-2.157400
0.316000,-2.152200
0.267900,-1.903600
0.217200,-1.917600
0.216700,-2.041900
0.246500,-2.006300
0.244800,-2.000700
0.233400,-1.953500
0.169500,-1.655300
0.117500,-1.855800
0.120200,-2.068300
-0.001800,-2.007600
-0.047400,-2.097500
0.058300,-2.091900
0.042800,-1.982400
0.017500,-2.118500
-0.017200,-2.146100
0.030500,-1.947600
0.095400,-1.962700
0.124800,-2.077400
0.101200,-1.825800
0.056400,-1.706300
0.068500,-1.989400
0.070100,-2.015500
0.115800,-1.759600
0.075100,-1.819300
0.106800,-1.663200
0.103400,-1.067200
0.144600,-1.559000
-0.076500,-1.637900
0.060100,-1.617200
0.143800,-1.571100
0.125300,-1.613700
0.072700,-1.662500
0.042100,-1.593000
0.060700,-1.535900
0.080500,-1.507400
0.144700,-1.444300
0.077700,-1.753800
0.117600,-1.703700
0.112300,-1.668200
0.043100,-1.670700
0.048300,-1.671500
0.064200,-1.636200
0.087800,-1.600000
0.151700,-1.586500
0.280900,-1.548100
0.085600,-1.823700
0.002100,-1.823900
0.116400,-1.796200
0.134100,-1.831800
0.105900,-1.930400
0.133500,-1.931500
0.080100,-1.849000
0.041000,-1.804200
0.089400,-1.807100
0.078100,-1.842000
0.071500,-1.870600
0.125200,-1.889800
0.086700,-1.908900
0.071700,-1.929600
0.088300,-1.909100
0.078300,-1.846900
0.120400,-1.814100
0.276400,-1.752800
0.090000,-1.828200
0.062200,-1.835000
0.116300,-1.928800
0.148400,-2.019700
0.095200,-1.994900
0.146200,-1.935700
0.143800,-1.956200
0.062300,-1.956400
0.043600,-1.919500
0.043100,-1.905300
0.058200,-1.732200
0.081000,-1.764700
0.104200,-1.808500
0.090100,-1.833200
0.097600,-1.831200
0.125300,-1.805300
0.132100,-1.762600
0.156700,-1.711100
0.324300,-1.660100
0.073200,-2.075500
0.151300,-2.182800
0.175200,-2.243900
0.105300,-2.191000
0.061600,-2.113100
0.135400,-2.167000
0.119300,-2.135400
0.060400,-2.036300
0.021700,-2.029500
0.070600,-1.882800
0.069900,-1.903100
0.115100,-1.903100
0.111400,-1.898700
0.062900,-1.891300
0.077300,-1.900100
0.137600,-1.921400
0.156800,-1.928800
0.253900,-1.924300
0.057900,-2.171500
0.085500,-2.245500
0.115300,-2.294900
0.160800,-2.266900
0.143400,-2.189300
0.109700,-2.204500
0.090500,-2.232800
0.086900,-2.184100
0.006600,-2.148800
0.065100,-2.178100
0.076300,-2.074600
0.117700,-2.074400
0.119400,-2.070000
0.094800,-2.048200
0.026800,-2.006600
0.059300,-2.021800
0.132900,-2.075800
0.127600,-2.085600
0.248300,-2.055300
0.122400,-2.134600
0.059100,-2.156500
0.051500,-2.221200
0.143100,-2.209400
0.184000,-2.159600
0.146800,-2.148800
0.077400,-2.196000
0.028300,-2.242800
0.044100,-2.254600
0.050200,-1.820900
0.101000,-1.849200
0.129100,-1.894300
0.138500,-1.896600
0.085800,-1.857500
0.048100,-1.838500
0.097100,-1.869900
0.102600,-1.898900
0.147700,-1.890000
0.164100,-2.081300
0.060100,-2.144500
0.018800,-2.132900
0.070200,-2.167200
0.152800,-2.240500
0.188000,-2.188000
0.126200,-2.158600
0.036800,-2.193200
0.017500,-2.220500
0.029800,-2.142400
0.061800,-1.706600
0.126400,-1.676600
0.177800,-1.638400
0.136600,-1.642800
0.064600,-1.702200
0.070900,-1.752300
0.084200,-1.763400
0.073500,-1.752400
0.213700,-1.800500
0.121000,-1.929900
0.043600,-1.947500
0.039800,-1.936800
0.164000,-1.988100
0.189900,-2.024200
0.137300,-2.017900
0.088900,-2.045800
0.036700,-2.028000
-0.015300,-1.971600
-0.110000,-1.965200
0.073400,-1.926500
0.106800,-1.851800
0.191200,-1.804300
0.169700,-1.817500
0.066700,-1.851800
0.068000,-1.881900
0.099300,-1.873800
0.085200,-1.845400
0.158800,-1.840500
0.134100,-1.754100
0.130300,-1.723700
0.029700,-1.722400
0.046000,-1.710800
0.196000,-1.696100
0.207000,-1.711800
0.148900,-1.785800
0.034300,-1.865500
-0.018400,-1.898500
-0.071300,-1.956100
0.106700,-2.013800
0.143000,-1.951400
0.148700,-1.977600
0.098300,-2.011300
0.074800,-2.005700
0.110900,-1.948100
0.104600,-1.874800
0.088500,-1.856300
0.211700,-1.839300
0.194100,-1.920100
0.120800,-1.919400
0.014200,-1.909600
0.038900,-1.878200
0.166300,-1.909100
0.236100,-1.946500
0.116400,-1.975600
-0.034800,-2.034800
-0.039700,-2.096400
0.028200,-2.138900
0.106000,-2.003200
0.079300,-1.919900
0.053500,-1.891700
0.106200,-1.882500
0.120400,-1.881100
0.123500,-1.861000
0.112200,-1.837800
0.093700,-1.839300
0.179400,-1.821800
0.139100,-2.208800
0.146800,-2.192900
0.057100,-2.164200
0.033100,-2.161000
0.025400,-2.207900
0.137500,-2.276700
0.172800,-2.255600
0.064000,-2.189700
0.014600,-2.164400
0.055600,-2.198300
0.069400,-1.928600
0.010800,-1.984400
0.058300,-1.964900
0.141100,-1.904500
0.178000,-1.890800
0.142900,-1.928300
0.087500,-1.983100
0.081000,-2.010500
0.240700,-2.025500
0.106800,-2.214500
0.078400,-2.204100
0.032000,-2.172300
-0.035700,-2.225000
0.022200,-2.276100
0.117700,-2.243100
0.125300,-2.194600
0.113500,-2.165700
0.082700,-2.144900
0.052300,-2.136600
0.031300,-2.071200
0.021500,-2.139400
0.053800,-2.170000
0.107400,-2.139500
0.164000,-2.132500
0.196500,-2.148000
0.093900,-2.170900
0.054800,-2.177800
0.192000,-2.174500
0.094100,-2.096200
0.084400,-2.144600
0.023300,-2.210400
0.007500,-2.212400
-0.050800,-2.206900
0.041400,-2.194700
0.080900,-2.162500
0.114400,-2.154400
0.131800,-2.128300
0.054900,-2.079300
-0.005800,-2.179600
0.032500,-2.203500
0.124900,-2.222800
0.157300,-2.248300
0.191300,-2.233700
0.139900,-2.192600
0.048500,-2.175800
0.059000,-2.152000
0.221000,-2.119100
0.073500,-2.047000
0.035300,-2.039300
0.049200,-2.101800
-0.021400,-2.056200
-0.013200,-2.019700
0.047700,-2.070500
0.109300,-2.082800
0.094000,-2.057100
0.067000,-2.045100
0.041000,-2.035200
-0.008600,-2.018900
-0.041300,-2.005300
0.069600,-1.992900
0.212200,-2.019600
0.197400,-2.018100
0.142100,-1.957900
0.071400,-1.904500
0.058700,-1.888100
0.163700,-1.877400
0.027600,-2.037200
0.026800,-1.913400
0.075300,-1.847900
0.039200,-1.856000
0.008900,-1.906600
0.044400,-1.904600
0.104800,-1.885200
0.069000,-1.934800
0.031500,-1.975700
0.002900,-1.956000
-0.006800,-1.914100
0.138500,-1.875300
0.219400,-1.861100
0.141400,-1.863500
0.091000,-1.828900
0.057400,-1.802000
0.126700,-1.826200
0.212500,-1.880000
0.013100,-2.060400
-0.011200,-2.018600
0.055800,-1.970600
0.033200,-1.946800
0.048000,-1.908800
0.013800,-1.864600
0.035600,-1.857800
0.080600,-1.887400
0.089100,-1.916500
0.032200,-1.933200
0.022400,-2.113600
0.049500,-2.086400
0.135000,-2.060100
0.143100,-2.035700
0.111400,-2.032300
0.063900,-2.048200
0.103800,-2.045400
0.192800,-2.040300
-0.032100,-1.922000
0.044700,-2.090900
0.024900,-2.127700
-0.034500,-2.052100
0.071000,-1.974400
0.038400,-2.035200
0.004700,-2.094900
0.060000,-2.044200
0.097900,-2.057200
0.004800,-2.103800
0.029300,-2.093200
0.087800,-2.092500
0.117700,-2.093000
0.125900,-2.093400
0.071400,-2.140900
0.068300,-2.136300
0.127600,-2.094700
0.204000,-2.078200
-0.083300,-1.922600
-0.029900,-1.991000
0.093700,-2.074500
0.046800,-2.080400
0.005900,-2.068200
0.062900,-2.054800
0.021400,-2.059200
0.029700,-2.060200
0.049700,-2.055300
0.090700,-2.043300
-0.003000,-1.997500
0.050700,-2.008500
0.083800,-2.040200
0.121100,-2.082100
0.104800,-2.103100
0.052200,-2.087900
0.066700,-2.074500
0.160900,-2.042000
-0.065800,-2.001500
-0.013900,-1.898500
0.056300,-1.872100
0.044800,-1.864600
0.104700,-1.806500
0.084200,-1.732900
0.010900,-1.734300
0.013800,-1.775900
0.071400,-1.724900
0.030400,-2.056500
0.040700,-2.105200
0.072100,-2.173000
0.030000,-2.187900
0.062700,-2.164200
0.052300,-2.167100
0.069600,-2.150200
0.069300,-2.071800
0.189400,-2.018000
-0.045800,-1.723500
-0.028000,-1.546200
-0.027700,-1.425200
0.013500,-1.389400
0.100300,-1.389100
0.161900,-1.408100
0.072800,-1.401600
0.023200,-1.378800
0.038100,-1.382600
0.038100,-1.404400
0.062300,-2.027800
0.057200,-2.093600
0.009500,-2.135300
-0.014700,-2.101700
-0.000900,-2.076300
0.045000,-2.088700
0.061400,-2.038500
0.131400,-1.953700
0.029400,-0.997000
0.033200,-1.085100
0.047300,-1.534300
-0.002000,-1.543800
0.002900,-1.540900
-0.011200,-1.537800
0.000500,-1.555600
0.021600,-1.551500
0.069200,-1.543500
0.040600,-1.553300
0.117000,-1.602500
