Zeit [s];surface_yx.min(epsX) [%];surface_yx.max(epsX) [%];surface_yx.avg(epsX) [%];surface_yx.min(epsY) [%];surface_yx.max(epsY) [%];surface_yx.avg(epsY) [%];surface_yx.min(patQ) [];surface_yx.max(patQ) [];surface_yx.avg(patQ) []
50.000000;-1.440687;-0.966068;-1.195859;1.677476;2.270457;1.987673;3.341475;6.859714;5.632653
51.000000;-1.690853;-1.221363;-1.429340;2.344633;2.988686;2.714059;3.353688;6.898602;5.626961
52.000000;-1.503548;-1.064533;-1.270849;1.780644;2.377866;2.074448;3.200064;6.839467;5.634560
53.000000;-1.708111;-1.245017;-1.482162;2.457037;3.148591;2.808839;3.361080;6.860035;5.628480
54.000000;-1.596266;-1.124460;-1.335414;1.846021;2.472294;2.178805;3.384863;6.940704;5.632202
55.000000;-1.915529;-1.318921;-1.571961;2.537993;3.263725;2.911811;3.439820;6.919171;5.623809
56.000000;-1.692714;-1.183902;-1.405887;1.912020;2.616708;2.279865;3.330548;6.884140;5.636045
57.000000;-1.927554;-1.384570;-1.636650;2.635281;3.387639;3.005204;3.345653;6.942311;5.624072
58.000000;-1.833632;-1.248703;-1.470733;2.016336;2.643509;2.365993;3.357545;6.798007;5.620307
59.000000;-2.005190;-1.434476;-1.690743;2.736973;3.532854;3.124041;3.371686;6.891210;5.609965
60.000000;-1.847787;-1.255133;-1.509291;2.093661;2.864597;2.513553;3.358187;6.924313;5.598918
61.000000;-2.103381;-1.520627;-1.773953;2.859871;3.587189;3.219986;3.301302;6.838181;5.622702
62.000000;-1.944745;-1.322629;-1.588122;2.254030;2.992016;2.591766;3.306444;6.915636;5.612281
63.000000;-2.217319;-1.535839;-1.853768;2.928056;3.734089;3.343416;3.300338;6.867106;5.624371
64.000000;-2.043015;-1.400960;-1.641281;2.327796;3.076794;2.701266;3.314479;6.877712;5.606311
65.000000;-2.367963;-1.639228;-1.888856;3.019784;3.826744;3.436240;3.339547;6.869998;5.602768
66.000000;-2.103031;-1.431976;-1.723496;2.378741;3.204711;2.810697;3.327013;6.855857;5.595957
67.000000;-2.508895;-1.713535;-1.978261;3.140970;3.964630;3.550744;3.394504;6.883818;5.606417
68.000000;-2.196774;-1.520549;-1.796663;2.486770;3.287201;2.915003;3.200064;6.917243;5.590716
69.000000;-2.516702;-1.733951;-2.028051;3.256903;4.044059;3.647987;3.384541;6.886711;5.603782
70.000000;-2.212797;-1.582931;-1.850808;2.606308;3.419830;3.004997;3.415073;6.888960;5.593647
71.000000;-2.596705;-1.810766;-2.115758;3.345495;4.157548;3.753800;3.238952;6.922385;5.601456
72.000000;-2.397554;-1.638547;-1.923064;2.720418;3.461647;3.096103;3.446248;6.887675;5.604985
73.000000;-2.694101;-1.908976;-2.185918;3.383635;4.294484;3.850075;3.378114;6.819541;5.597331
74.000000;-2.506455;-1.686434;-1.994856;2.709430;3.673647;3.214446;3.314479;6.875783;5.590684
75.000000;-2.700810;-1.953990;-2.234338;3.524045;4.412669;3.973398;3.319621;6.868070;5.580664
76.000000;-2.518005;-1.796457;-2.076654;2.763205;3.667783;3.289253;3.296160;6.833039;5.595808
77.000000;-2.932289;-1.999463;-2.296432;3.639846;4.511198;4.045224;3.365258;6.897316;5.598672
78.000000;-2.551160;-1.829378;-2.135422;2.943262;3.788218;3.391485;3.242487;6.813113;5.601645
79.000000;-2.823210;-2.068619;-2.378997;3.701180;4.623976;4.164540;3.368472;6.839467;5.594048
80.000000;-2.680022;-1.842089;-2.180454;3.041625;3.942938;3.508352;3.340832;6.844609;5.585819
81.000000;-2.925766;-2.133022;-2.447651;3.787503;4.754336;4.279148;3.383577;6.820505;5.590689
82.000000;-2.754056;-1.936352;-2.269452;3.091327;4.066258;3.595751;3.361080;6.821147;5.593751
83.000000;-3.073012;-2.198509;-2.520199;3.895365;4.905443;4.382152;3.331191;6.853929;5.586030
84.000000;-2.764537;-2.037788;-2.346840;3.244077;4.186311;3.700128;3.319942;6.806042;5.596055
85.000000;-3.169282;-2.286824;-2.595314;3.936699;5.017737;4.492752;3.369436;6.818576;5.582696
86.000000;-2.880880;-2.103726;-2.408971;3.285931;4.297865;3.798428;3.323156;6.846216;5.581601
87.000000;-3.249983;-2.314086;-2.653121;4.023807;5.055827;4.583680;3.431143;6.817934;5.571400
88.000000;-2.970302;-2.124867;-2.473430;3.412153;4.421478;3.903511;3.353045;6.842680;5.585057
89.000000;-3.316504;-2.339382;-2.725266;4.146929;5.125858;4.678800;3.363008;6.881890;5.578220
90.000000;-3.006939;-2.120414;-2.534909;3.476754;4.546323;4.010004;3.211956;6.805399;5.572399
91.000000;-3.463183;-2.430181;-2.791204;4.264350;5.272768;4.785783;3.329905;6.800257;5.566539
92.000000;-3.160213;-2.214575;-2.593224;3.597554;4.681972;4.120562;3.312872;6.859393;5.563888
93.000000;-3.513319;-2.452376;-2.863153;4.319812;5.439957;4.915093;3.393219;6.826290;5.566605
94.000000;-3.126523;-2.322267;-2.684071;3.741944;4.794547;4.225364;3.327977;6.838824;5.573836
95.000000;-3.579354;-2.575267;-2.929633;4.441796;5.528186;5.011806;3.332155;6.852643;5.567597
96.000000;-3.218076;-2.360432;-2.735607;3.777460;4.914928;4.347844;3.398361;6.766511;5.552497
97.000000;-3.616766;-2.605472;-2.999282;4.510132;5.656098;5.105687;3.199743;6.870963;5.559740
98.000000;-3.316697;-2.458744;-2.820429;3.823460;5.031159;4.432814;3.310943;6.808292;5.562942
99.000000;-3.737654;-2.670180;-3.061137;4.545171;5.799361;5.219654;3.321228;6.796079;5.555828
100.000000;-3.381251;-2.503111;-2.894828;3.953648;5.080481;4.525086;3.285875;6.841074;5.569599
