eps_xx,eps_yy
1.286300,-1.393500
1.516600,-1.553500
1.579300,-1.664200
1.602500,-1.721300
1.643400,-1.706800
1.470500,-1.441600
1.471700,-1.394900
1.546300,-1.414700
1.385800,-1.374300
1.303600,-1.341200
1.142100,-1.398400
1.309800,-1.560200
1.634300,-1.707000
1.743000,-1.794600
1.685800,-1.765700
1.556800,-1.592900
1.348800,-1.316800
1.211000,-1.310000
1.397000,-1.412500
1.558200,-1.377900
1.451700,-1.379800
1.399400,-1.444100
1.302000,-1.487400
1.318800,-1.592000
1.605600,-1.763700
1.824300,-1.853200
1.798800,-1.826300
1.593100,-1.657500
1.251900,-1.330600
1.239300,-1.217800
1.395000,-1.426500
1.351800,-1.410900
1.477900,-1.385900
1.542300,-1.442800
1.513900,-1.535600
1.426700,-1.595500
1.352900,-1.641900
1.516500,-1.759200
1.772700,-1.861100
1.801900,-1.807300
1.639300,-1.642100
1.397600,-1.443700
1.210600,-1.284700
1.406900,-1.406500
1.566200,-1.522900
1.372900,-1.441200
1.447200,-1.376700
1.648100,-1.462900
1.637700,-1.580300
1.497200,-1.625100
1.394500,-1.667700
1.421600,-1.759700
1.662700,-1.855900
1.763500,-1.832200
1.618200,-1.663700
1.510300,-1.504600
1.399200,-1.426500
1.271200,-1.270400
1.493500,-1.433100
1.608400,-1.543300
1.492600,-1.547700
1.454500,-1.559200
1.675200,-1.596200
1.741900,-1.618300
1.528600,-1.606300
1.436100,-1.656000
1.442400,-1.745800
1.540300,-1.777400
1.673500,-1.764800
1.635900,-1.690500
1.567800,-1.595900
1.501600,-1.529000
1.328200,-1.361300
1.205800,-1.184900
1.287900,-1.235100
1.517600,-1.510600
1.624500,-1.533400
1.597100,-1.568400
1.595100,-1.686800
1.665100,-1.799400
1.738500,-1.759600
1.590000,-1.614300
1.460300,-1.587500
1.502100,-1.723700
1.532600,-1.793900
1.603700,-1.749000
1.640700,-1.715300
1.601700,-1.694300
1.503400,-1.586200
1.337900,-1.397900
1.280800,-1.348400
1.427400,-1.493100
1.556400,-1.636600
1.702900,-1.662500
1.736300,-1.737800
1.706500,-1.788100
1.664600,-1.750800
1.627700,-1.654000
1.552300,-1.622500
1.545900,-1.708800
1.528400,-1.774000
1.593300,-1.772000
1.648000,-1.757600
1.645000,-1.732200
1.509800,-1.642200
1.362800,-1.475300
1.348100,-1.427300
1.545300,-1.604500
1.730900,-1.775400
1.455800,-1.632300
1.766800,-1.739600
1.854700,-1.858100
1.762600,-1.808600
1.563900,-1.655100
1.604100,-1.610300
1.662300,-1.671500
1.657100,-1.788400
1.502100,-1.815400
1.545000,-1.793000
1.692300,-1.808800
1.683000,-1.755200
1.537300,-1.618100
1.407900,-1.509000
1.382100,-1.534500
1.632800,-1.660500
1.869500,-1.795900
1.623500,-1.737900
1.902900,-1.813400
1.899300,-1.972700
1.515500,-1.816500
1.494200,-1.565400
1.693200,-1.691000
1.753000,-1.827600
1.596900,-1.872700
1.485800,-1.893100
1.708200,-1.907500
1.702200,-1.836400
1.558800,-1.679200
1.444700,-1.552100
1.467400,-1.571400
1.528500,-1.717600
1.870700,-1.871700
2.010900,-1.937100
1.603500,-1.846800
1.741200,-1.775400
1.810200,-1.604600
1.604600,-1.516300
1.391700,-1.533400
1.665100,-1.673900
1.739700,-1.855800
1.693200,-1.894500
1.553400,-1.929600
1.694000,-1.963300
1.731800,-1.832900
1.567500,-1.657900
1.453800,-1.592000
1.586100,-1.636600
1.597600,-1.771000
1.709000,-1.936700
2.032900,-2.040500
1.646700,-1.793500
1.575800,-1.560400
1.592500,-1.234500
1.479200,-1.308800
1.611700,-1.685600
1.757500,-1.852800
1.829900,-1.988000
1.735100,-2.030000
1.644500,-1.986800
1.681700,-1.840600
1.557900,-1.645300
1.446100,-1.564100
1.567200,-1.630700
1.802400,-1.787400
1.698200,-1.931400
1.836800,-2.010400
2.084300,-2.044600
1.681900,-1.763000
1.605700,-1.622400
1.514500,-1.520800
1.561000,-1.538000
1.601500,-1.716100
1.750300,-1.883400
1.941900,-1.971400
1.985800,-2.045600
1.687600,-2.016400
1.536800,-1.859000
1.543500,-1.701500
1.525200,-1.664700
1.513000,-1.719600
1.721700,-1.840000
1.815000,-1.955000
1.854000,-1.982600
2.104700,-2.002200
1.552800,-1.649700
1.576600,-1.666400
1.641700,-1.714900
1.702600,-1.793300
1.761600,-1.919600
1.963900,-2.022000
2.142800,-2.052300
1.837000,-2.004400
1.427900,-1.847000
1.457400,-1.723500
1.567000,-1.747200
1.608300,-1.823200
1.650900,-1.903000
1.732300,-1.976200
1.849600,-2.032100
2.072500,-2.080900
2.248400,-2.105500
1.319100,-1.577200
1.575400,-1.649300
1.735700,-1.784300
1.894700,-1.900700
1.881300,-2.005600
1.902800,-2.061600
2.085400,-2.049600
1.970300,-1.973200
1.486400,-1.820100
1.365400,-1.693200
1.535900,-1.753400
1.625800,-1.878300
1.715700,-1.919500
1.751000,-1.938800
