stage,eps_zz_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yz_mean_in_mBtG,eps_zz_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yz_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.002618,-0.007926,0.330327
5,nan,nan,nan,0.002591,-0.002604,0.995245
7,1.523842,-1.648012,0.924654,0.023287,-0.042671,0.545740
9,1.596545,-1.727292,0.924305,0.028789,-0.042859,0.671707
11,1.643847,-1.782567,0.922180,0.031002,-0.045244,0.685227
13,1.665617,-1.814045,0.918179,0.029728,-0.045216,0.657472
15,1.703195,-1.847780,0.921752,0.029592,-0.045287,0.653422
17,1.742601,-1.889973,0.922024,0.037266,-0.044580,0.835952
19,1.769653,-1.921120,0.921157,0.044258,-0.049966,0.885761
21,1.796163,-1.941418,0.925181,0.043082,-0.053430,0.806328
23,1.765590,-1.903972,0.927319,0.078814,-0.091018,0.865916
25,1.775534,-1.920481,0.924526,0.086623,-0.098626,0.878294
27,1.787102,-1.926198,0.927787,0.083578,-0.097852,0.854126
29,1.807744,-1.944690,0.929579,0.094619,-0.103212,0.916745
31,1.795161,-1.931784,0.929276,0.139411,-0.153425,0.908662
33,1.812934,-1.939703,0.934645,0.142118,-0.158680,0.895627
35,1.820845,-1.953766,0.931967,0.156410,-0.164466,0.951016
37,1.835212,-1.969097,0.932007,0.164126,-0.179346,0.915134
39,1.844991,-1.975015,0.934165,0.164844,-0.179992,0.915841
41,1.857362,-1.988929,0.933851,0.171585,-0.185060,0.927187
43,1.876864,-2.010800,0.933392,0.154434,-0.166451,0.927807
45,1.881325,-2.016004,0.933195,0.160112,-0.172962,0.925706
47,1.882485,-2.016307,0.933630,0.174273,-0.182460,0.955132
49,1.870844,-1.997751,0.936475,0.404452,-0.428578,0.943707
51,1.938686,-2.062726,0.939866,0.621882,-0.641756,0.969032
53,1.947597,-2.079596,0.936526,nan,nan,nan
55,2.054660,-2.191227,0.937676,nan,nan,nan
57,2.155057,-2.306848,0.934200,nan,nan,nan
59,2.276788,-2.435229,0.934938,nan,nan,nan
61,2.380929,-2.558467,0.930608,nan,nan,nan
63,2.454184,-2.636549,0.930832,nan,nan,nan
65,2.533828,-2.725533,0.929663,nan,nan,nan
67,2.615684,-2.818350,0.928090,nan,nan,nan
69,2.686648,-2.896812,0.927450,nan,nan,nan
71,2.758195,-2.972485,0.927909,nan,nan,nan
73,2.859785,-3.087793,0.926158,nan,nan,nan
75,2.937786,-3.178147,0.924371,nan,nan,nan
77,3.028353,-3.280703,0.923080,nan,nan,nan
79,3.127790,-3.391070,0.922361,nan,nan,nan
81,3.211901,-3.484452,0.921781,nan,nan,nan
83,3.285175,-3.571291,0.919884,nan,nan,nan
85,3.369949,-3.661890,0.920276,nan,nan,nan
87,3.435939,-3.740201,0.918651,nan,nan,nan
89,3.525362,-3.837572,0.918644,nan,nan,nan
91,3.600607,-3.924735,0.917414,nan,nan,nan
93,3.690090,-4.021061,0.917691,nan,nan,nan
95,3.755872,-4.100351,0.915988,nan,nan,nan
97,3.851289,-4.206980,0.915452,nan,nan,nan
99,3.944036,-4.315372,0.913950,nan,nan,nan
