stage,eps_xx_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yx_mean_in_mBtG,eps_xx_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yx_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.003305,0.000486,-6.801339
5,nan,nan,nan,-0.001242,-0.008225,-0.150938
7,0.096077,-1.806905,0.053172,0.031686,-0.002478,12.784750
9,0.069357,-1.861845,0.037252,0.015044,-0.029844,0.504070
11,0.097864,-1.913609,0.051141,0.024316,-0.010595,2.294976
13,0.086773,-1.946575,0.044577,0.016441,-0.002516,6.534589
15,0.098302,-1.945542,0.050527,0.021704,-0.022421,0.968039
17,0.098940,-1.943539,0.050907,0.022223,-0.024959,0.890371
19,0.105903,-1.880411,0.056319,0.017898,-0.052071,0.343723
21,0.103102,-1.883754,0.054732,0.018413,-0.064107,0.287220
23,0.093194,-1.863280,0.050016,0.015460,-0.103390,0.149531
25,0.091250,-1.837374,0.049663,0.025024,-0.103282,0.242291
27,0.096182,-1.821363,0.052807,0.017725,-0.124043,0.142898
29,0.121262,-1.835479,0.066066,0.035921,-0.128036,0.280557
31,0.099490,-1.830769,0.054344,0.038615,-0.166320,0.232175
33,0.111092,-1.818032,0.061106,0.032919,-0.187975,0.175121
35,0.112424,-1.793784,0.062674,0.028405,-0.186802,0.152058
37,0.117054,-1.783451,0.065633,0.027876,-0.196344,0.141974
39,0.110689,-1.756876,0.063003,0.031175,-0.192884,0.161626
41,0.112086,-1.767087,0.063430,0.018720,-0.154078,0.121495
43,0.112337,-1.787822,0.062834,0.013017,-0.161522,0.080589
45,0.123893,-1.788041,0.069290,0.005749,-0.165431,0.034750
47,0.121543,-1.789116,0.067935,0.012463,-0.157381,0.079188
49,0.129867,-1.936205,0.067073,0.069756,-0.608244,0.114684
51,0.126428,-1.865349,0.067777,nan,nan,nan
53,0.152815,-2.024055,0.075500,nan,nan,nan
55,0.171585,-2.114451,0.081149,nan,nan,nan
57,0.192935,-2.242560,0.086033,nan,nan,nan
59,0.183722,-2.371415,0.077474,nan,nan,nan
61,0.207347,-2.525817,0.082091,nan,nan,nan
63,0.222693,-2.591003,0.085949,nan,nan,nan
65,0.232888,-2.697484,0.086335,nan,nan,nan
67,0.267382,-2.793034,0.095732,nan,nan,nan
69,0.269043,-2.884672,0.093267,nan,nan,nan
71,0.283837,-2.948069,0.096279,nan,nan,nan
73,0.306925,-3.061019,0.100269,nan,nan,nan
75,0.312652,-3.136787,0.099673,nan,nan,nan
77,0.338801,-3.243727,0.104448,nan,nan,nan
79,0.363970,-3.338537,0.109021,nan,nan,nan
81,0.381276,-3.428963,0.111193,nan,nan,nan
83,0.402669,-3.515946,0.114527,nan,nan,nan
85,0.423702,-3.602955,0.117598,nan,nan,nan
87,0.429043,-3.692745,0.116185,nan,nan,nan
89,0.441367,-3.782059,0.116700,nan,nan,nan
91,0.477233,-3.861959,0.123573,nan,nan,nan
93,0.492680,-3.963155,0.124315,nan,nan,nan
95,0.498368,-4.040105,0.123355,nan,nan,nan
97,0.526193,-4.149123,0.126820,nan,nan,nan
99,0.545441,-4.251792,0.128285,nan,nan,nan
