Index;suface_yz.min(epsX) [%];suface_yz.max(epsX) [%];suface_yz.avg(epsX) [%];suface_yz.min(epsY) [%];suface_yz.max(epsY) [%];suface_yz.avg(epsY) [%];suface_yz.min(patQ) [];suface_yz.max(patQ) [];suface_yz.avg(patQ) []
76;-1.809713;-1.129660;-1.384263;3.364361;4.132632;3.744595;1.884596;6.262303;4.365798
77;-1.619304;-0.912720;-1.167669;2.749257;3.518416;3.120295;1.887303;6.174705;4.365721
78;-1.847778;-1.149083;-1.413282;3.462585;4.230235;3.842268;1.819390;6.222933;4.367120
79;-1.652649;-0.952171;-1.197544;2.833155;3.630141;3.213925;1.859744;6.178150;4.360311
80;-1.885760;-1.173396;-1.446331;3.568677;4.367042;3.941416;1.803642;6.200049;4.368890
81;-1.706826;-0.982215;-1.230993;2.917937;3.724712;3.311157;1.843504;6.200541;4.358590
82;-1.934417;-1.209914;-1.471690;3.670509;4.475357;4.043340;1.906496;6.165846;4.366148
83;-1.742298;-0.984182;-1.253060;3.014409;3.843443;3.411432;1.861467;6.203986;4.366435
84;-1.987934;-1.227076;-1.505802;3.740957;4.598649;4.140512;1.845719;6.230069;4.366529
85;-1.786540;-1.016657;-1.292556;3.100239;3.933448;3.508908;1.876476;6.210384;4.359522
86;-2.023387;-1.267027;-1.532907;3.823409;4.720678;4.239401;1.874016;6.121309;4.364604
87;-1.804877;-1.053870;-1.313235;3.204013;4.041787;3.602482;1.874508;6.278543;4.362397
88;-2.054912;-1.301075;-1.563043;3.908660;4.832585;4.338120;1.879183;6.186762;4.367972
89;-1.825098;-1.070208;-1.336858;3.304268;4.168463;3.702510;1.846457;6.263041;4.365673
90;-2.126395;-1.305077;-1.587836;3.994670;4.931702;4.437560;1.908957;6.151821;4.365160
91;-1.870747;-1.102111;-1.372043;3.380907;4.294458;3.800079;1.903789;6.153297;4.360552
92;-2.154156;-1.330498;-1.617120;4.090557;5.038395;4.537430;1.907234;6.172490;4.364891
93;-1.896979;-1.119791;-1.398240;3.469351;4.397853;3.894205;1.902559;6.265502;4.358904
94;-2.181058;-1.362112;-1.647302;4.175519;5.146475;4.636472;1.811762;6.170276;4.364698
95;-1.928686;-1.150303;-1.430502;3.557973;4.515606;3.989167;1.873770;6.212106;4.357347
96;-2.226561;-1.383181;-1.677160;4.277051;5.281686;4.737128;1.782234;6.128691;4.359767
97;-1.975920;-1.160395;-1.456087;3.628779;4.618071;4.086253;1.864665;6.052412;4.359017
98;-2.258945;-1.405703;-1.702834;4.377450;5.389021;4.835140;1.855807;6.269439;4.365462
99;-2.028544;-1.182968;-1.486603;3.716482;4.726990;4.183725;1.889026;6.142470;4.363394
100;-2.298401;-1.433791;-1.732222;4.469418;5.521406;4.942599;1.812992;6.315699;4.361923
101;-2.094044;-1.207791;-1.514653;3.813943;4.841040;4.283740;1.882874;6.215059;4.357441
