eps_xx,eps_yy
0.759400,-0.748900
0.718900,-0.693700
0.646700,-0.713700
0.617900,-0.659900
0.598900,-0.609800
0.568700,-0.530400
0.417400,-0.396400
0.219400,-0.227500
0.169000,-0.141100
0.187300,-0.082100
0.203000,-0.160300
0.395200,-0.412100
0.573000,-0.525800
0.531500,-0.410700
0.521900,-0.521200
0.980100,-0.980800
1.297900,-1.292200
1.393100,-1.264900
1.057300,-0.979400
1.074600,-1.011200
1.158000,-1.045700
1.153700,-1.175500
1.050500,-0.957200
0.770100,-0.818200
0.814500,-0.864900
1.222800,-1.413600
1.278600,-1.293600
1.191500,-1.230600
1.200300,-1.264400
0.735500,-0.961400
0.784800,-0.931000
1.025300,-1.040600
1.097500,-1.028900
1.018600,-1.023400
0.924400,-0.936700
0.802100,-0.835900
0.735100,-0.812700
0.740100,-0.811000
0.671700,-0.803800
0.099200,-0.355800
0.028500,-0.091300
0.018100,-0.037700
0.024900,-0.089900
0.168700,-0.079200
0.135100,-0.129700
0.268800,-0.233600
0.584700,-0.538400
0.629500,-0.878700
1.156600,-1.229700
1.159200,-1.348300
0.765400,-0.757900
0.737700,-0.735700
0.715500,-0.735900
0.677400,-0.710600
0.644600,-0.628900
0.541400,-0.486200
0.329400,-0.330700
0.194700,-0.222600
0.217900,-0.187100
0.266800,-0.220200
0.357000,-0.347400
0.564300,-0.495200
0.570200,-0.470900
0.761300,-0.791300
0.828100,-0.798700
0.812300,-0.828400
0.757700,-0.755100
0.657500,-0.608900
0.464900,-0.438700
0.286500,-0.320100
0.275900,-0.300300
0.383800,-0.344000
0.467100,-0.456100
0.558000,-0.550900
0.592900,-0.515300
0.765200,-0.796200
0.876000,-0.841300
0.937800,-0.911500
0.829900,-0.860700
0.748600,-0.713100
0.595400,-0.553400
0.427900,-0.452700
0.384400,-0.439400
0.498500,-0.514000
0.627500,-0.627200
0.621800,-0.655600
0.629200,-0.606900
0.679200,-0.640600
0.873500,-0.885400
1.018200,-0.957700
0.904800,-0.919000
0.761700,-0.779400
0.702700,-0.652000
0.606800,-0.620700
0.559800,-0.670400
0.655000,-0.748600
0.779000,-0.825100
0.737900,-0.798100
0.691400,-0.705100
0.983900,-0.906600
0.940400,-0.970400
1.038000,-1.007400
0.992200,-0.944000
0.752500,-0.820200
0.716800,-0.720200
0.798800,-0.743700
0.798000,-0.864900
0.817300,-0.962400
0.895100,-0.979100
0.879400,-0.909900
0.829800,-0.887200
1.056200,-1.085500
1.016500,-1.049700
1.046600,-1.000000
0.823300,-0.881800
0.699600,-0.791300
0.927700,-0.864400
1.059200,-1.020900
1.021500,-1.122600
0.983700,-1.094100
1.002700,-1.041500
1.049400,-1.132200
1.250700,-1.371900
1.021100,-1.039300
1.024800,-1.015500
0.902100,-0.898500
0.728700,-0.867100
1.013000,-1.009200
1.288200,-1.176100
1.217300,-1.241500
1.082300,-1.229600
1.110600,-1.210100
1.247200,-1.328200
0.987600,-0.987100
0.889600,-0.865200
0.829400,-0.939300
1.092200,-1.172500
1.417500,-1.298600
1.366800,-1.310500
1.197900,-1.309700
1.215600,-1.375500
1.165600,-1.156700
0.900600,-0.902400
0.863300,-0.838200
0.938400,-0.983700
1.187600,-1.260200
1.183700,-1.133500
0.875200,-0.945600
1.131500,-1.133200
1.297200,-1.334000
1.250300,-1.229800
1.144800,-1.066200
0.983900,-1.111600
1.329500,-1.291400
1.226000,-1.207100
1.305600,-1.350800
1.323300,-1.280300
1.142000,-1.230200
1.095400,-1.045800
0.744500,-0.694900
1.025700,-1.087500
0.987400,-0.938900
1.035400,-1.047800
1.093200,-1.086000
1.106500,-1.168100
1.257400,-1.294600
1.288700,-1.388300
1.262900,-1.399900
0.984500,-1.201900
0.757300,-0.887900
1.190000,-1.220900
0.835500,-0.941900
0.425600,-0.563000
0.243100,-0.350800
1.065100,-1.077800
0.684100,-0.683600
0.309800,-0.311100
0.091000,-0.121500
1.052000,-1.065000
0.532300,-0.568000
0.240200,-0.220700
0.087100,-0.097200
0.041700,-0.086800
1.358400,-1.296800
1.144400,-1.089600
0.603900,-0.628700
0.228200,-0.203900
0.110000,-0.074200
0.027700,-0.088900
1.241800,-1.229200
1.012200,-1.010000
0.937500,-0.879400
0.744800,-0.655000
0.409000,-0.352600
0.189300,-0.168700
0.057900,-0.111200
0.053400,-0.111700
1.200600,-1.240500
1.019300,-1.017200
0.779400,-0.798000
0.564300,-0.543700
0.531200,-0.434500
0.577100,-0.531300
0.413900,-0.534900
0.155500,-0.365000
0.111600,-0.166100
1.288300,-1.411600
1.089600,-1.247100
0.857900,-0.864600
0.650000,-0.540400
0.374100,-0.277300
0.223700,-0.083700
0.328000,-0.255800
0.473300,-0.600200
0.404100,-0.635700
0.304100,-0.385000
0.211300,-0.199400
1.235000,-1.380500
1.206000,-1.257200
0.925300,-1.037100
0.692900,-0.804300
0.546700,-0.530900
0.263100,-0.228400
0.072200,-0.068600
0.140400,-0.055600
0.233000,-0.163100
0.368400,-0.389100
0.501900,-0.493000
0.423800,-0.382200
1.209400,-1.202100
1.098000,-1.070300
0.759700,-0.797300
0.480100,-0.563300
0.441400,-0.378100
0.243500,-0.186300
-0.002200,-0.131400
0.031100,-0.149400
0.122700,-0.097000
0.113000,-0.076200
0.282100,-0.254700
0.536600,-0.545600
0.510300,-0.599100
1.044100,-1.234700
0.733300,-0.840900
0.416000,-0.660500
0.335100,-0.432700
0.229000,-0.035200
0.043800,-0.010100
-0.048400,-0.210000
0.098400,-0.149800
0.085800,-0.089600
0.060400,-0.082200
0.271900,-0.398400
0.564900,-0.826600
