stage,eps_zz_mean_in_mBtG,eps_yy_mean_in_mBtG,nu_yz_mean_in_mBtG,eps_zz_mean_out_mBtG,eps_yy_mean_out_mBtG,nu_yz_mean_out_mBtG
1,nan,nan,nan,0.000000,0.000000,nan
3,nan,nan,nan,0.002295,-0.008278,0.277284
5,nan,nan,nan,0.001990,-0.002956,0.673216
7,1.498273,-1.620479,0.924587,0.022854,-0.044550,0.513001
9,1.572302,-1.700988,0.924346,0.028553,-0.044779,0.637640
11,1.625050,-1.762798,0.921858,0.030843,-0.047349,0.651402
13,1.653414,-1.798729,0.919212,0.030157,-0.048238,0.625164
15,1.690158,-1.834346,0.921396,0.030258,-0.048867,0.619188
17,1.733681,-1.880921,0.921719,0.039407,-0.049115,0.802346
19,1.761315,-1.912603,0.920899,0.045844,-0.054215,0.845608
21,1.785803,-1.929333,0.925606,0.044343,-0.057188,0.775390
23,1.749689,-1.887591,0.926943,0.085431,-0.100491,0.850135
25,1.764229,-1.907491,0.924895,0.094159,-0.109510,0.859821
27,1.780957,-1.920141,0.927514,0.093710,-0.111921,0.837283
29,1.792222,-1.931021,0.928122,0.102776,-0.115242,0.891821
31,1.774195,-1.913490,0.927204,0.149747,-0.167120,0.896048
33,1.793113,-1.922113,0.932886,0.152958,-0.172995,0.884172
35,1.804661,-1.939212,0.930615,0.169464,-0.180823,0.937182
37,1.815990,-1.950798,0.930896,0.175091,-0.193557,0.904601
39,1.815195,-1.946024,0.932771,0.162420,-0.179032,0.907217
41,1.831772,-1.965497,0.931964,0.164669,-0.177993,0.925143
43,1.862843,-1.998403,0.932166,0.154668,-0.167248,0.924782
45,1.864637,-2.000726,0.931980,0.159085,-0.172244,0.923601
47,1.866381,-2.002177,0.932176,0.178127,-0.186780,0.953671
49,1.858388,-1.988806,0.934424,0.448582,-0.476824,0.940771
51,1.933566,-2.061214,0.938071,0.718743,-0.740663,0.970405
53,1.955087,-2.090079,0.935413,nan,nan,nan
55,2.054867,-2.194206,0.936497,nan,nan,nan
57,2.152422,-2.306741,0.933101,nan,nan,nan
59,2.273772,-2.434290,0.934060,nan,nan,nan
61,2.378315,-2.558185,0.929688,nan,nan,nan
63,2.451604,-2.636166,0.929989,nan,nan,nan
65,2.532066,-2.725524,0.929020,nan,nan,nan
67,2.614372,-2.818383,0.927614,nan,nan,nan
69,2.684657,-2.896341,0.926913,nan,nan,nan
71,2.756574,-2.972750,0.927281,nan,nan,nan
73,2.857723,-3.087699,0.925519,nan,nan,nan
75,2.935719,-3.178479,0.923624,nan,nan,nan
77,3.026635,-3.281136,0.922435,nan,nan,nan
79,3.125876,-3.391051,0.921802,nan,nan,nan
81,3.208967,-3.483777,0.921117,nan,nan,nan
83,3.282944,-3.570820,0.919381,nan,nan,nan
85,3.367387,-3.661468,0.919682,nan,nan,nan
87,3.433543,-3.739929,0.918077,nan,nan,nan
89,3.522315,-3.836982,0.917991,nan,nan,nan
91,3.597204,-3.924051,0.916707,nan,nan,nan
93,3.686173,-4.020179,0.916918,nan,nan,nan
95,3.751924,-4.099462,0.915223,nan,nan,nan
97,3.847061,-4.205498,0.914769,nan,nan,nan
99,3.939324,-4.313409,0.913274,nan,nan,nan
