eps_xx,eps_yy
0.107700,-1.158800
0.100300,-1.744900
0.070400,-2.021400
0.084800,-2.143800
0.083400,-2.094400
0.001400,-1.956400
0.005800,-2.035100
0.053400,-2.086600
0.020500,-2.074200
-0.032400,-1.956900
0.056600,-1.952300
0.042100,-1.918300
-0.009000,-1.755100
0.022000,-1.621200
0.068500,-1.057100
0.001500,-1.464600
0.004500,-1.931700
-0.050500,-1.935200
0.014600,-1.927200
0.039600,-2.008500
0.030600,-2.025100
0.030700,-2.074100
0.143900,-1.902900
0.161300,-1.805000
0.107900,-1.965600
0.099800,-2.121300
0.031300,-2.047000
0.100700,-1.843100
0.110200,-1.540200
0.360900,-1.092200
0.426400,-1.545100
0.418400,-1.680900
0.365300,-1.837200
0.357800,-1.790600
0.366400,-1.734200
0.369900,-1.788700
0.383100,-2.001600
0.369200,-2.035300
0.332700,-1.936000
0.342200,-2.005900
0.356600,-2.053300
0.347200,-2.019600
0.323200,-1.981600
0.247500,-1.706800
-0.040800,-1.689300
0.053700,-2.014800
0.067100,-2.003700
0.031800,-2.020000
0.030400,-1.993400
0.013000,-1.994700
0.026700,-2.021000
0.044700,-1.979500
0.040000,-1.925000
0.067100,-1.868000
0.060300,-1.786600
0.083900,-1.856000
0.051100,-1.794600
0.055300,-1.651000
0.091300,-1.111600
0.037500,-1.272000
0.019800,-1.280100
0.087600,-1.250300
0.073500,-1.230400
0.058900,-1.204800
0.082600,-1.175500
0.124400,-1.192400
0.141000,-1.144200
0.116800,-1.138900
0.117900,-1.121000
0.171200,-1.120400
0.256700,-1.118500
0.051700,-1.743900
0.058900,-1.762900
0.077900,-1.786600
0.101300,-1.763300
0.082900,-1.715300
0.088700,-1.712200
0.094700,-1.658300
0.138700,-1.659400
0.147000,-1.665700
0.127900,-1.657600
0.162600,-1.614300
0.284700,-1.567300
0.052700,-1.983400
0.048700,-2.066100
0.071200,-2.072600
0.110000,-2.036700
0.107400,-2.021700
0.074500,-1.998700
0.106200,-1.793500
0.143500,-1.810300
0.122800,-1.815900
0.127900,-1.802900
0.198600,-1.755900
0.326900,-1.688800
0.030500,-2.168400
0.074300,-2.204000
0.105700,-2.160900
0.103100,-2.148400
0.083200,-2.135300
0.071800,-2.127500
0.095800,-1.859700
0.138800,-1.874500
0.121300,-1.866900
0.096300,-1.852700
0.144200,-1.858500
0.199700,-1.856500
0.331700,-1.822700
