eps_xx,eps_yy
0.114700,-1.056200
0.048900,-1.080300
0.012300,-1.118700
0.041500,-0.994400
0.029700,-0.941000
-0.001100,-0.951600
-0.049700,-0.943200
0.023500,-1.043000
0.081400,-1.150600
0.078200,-1.097300
0.046500,-1.159600
0.081900,-1.452600
0.179700,-1.622300
0.143600,-1.838300
0.087500,-2.104500
0.147200,-2.206000
0.124700,-2.037700
-0.028400,-1.518500
-0.033100,-0.928600
0.100400,-1.048200
0.060900,-1.620800
0.025600,-2.055600
0.081900,-2.009500
0.154800,-1.668200
0.118000,-1.537100
0.094300,-1.666400
0.127400,-1.870800
0.076900,-2.056900
0.087100,-2.229500
0.096400,-2.210700
0.020700,-2.083200
0.041400,-2.140000
0.109900,-2.153100
0.058500,-2.115900
0.033700,-1.978700
0.134900,-1.997300
0.167600,-1.932800
0.103700,-1.747800
0.085200,-1.623400
0.107200,-1.535100
0.133500,-1.750900
0.125900,-1.704500
0.122000,-1.620400
0.113400,-1.989300
0.090900,-1.991600
0.165700,-1.763700
0.075900,-1.671000
0.066100,-1.748000
0.144700,-1.501500
0.047900,-1.347700
-0.028500,-1.248500
-0.002500,-0.906700
0.118300,-1.022900
0.124200,-1.593100
0.048100,-1.724300
0.080800,-1.607000
0.103900,-1.534200
0.084600,-1.579100
0.084500,-1.795000
0.095700,-1.847400
0.021900,-1.691500
-0.037200,-1.742600
0.053300,-1.722000
0.032200,-1.451800
0.029400,-1.544100
0.053200,-1.871400
0.011900,-1.912900
0.058200,-1.962900
0.049100,-2.012400
0.076400,-2.068800
0.078900,-2.151800
0.125200,-1.952500
0.126000,-1.894000
0.089400,-2.091900
0.101500,-2.219900
0.096800,-2.188000
0.134000,-1.996300
0.126000,-1.929600
0.129800,-1.926100
0.126000,-1.937500
0.123000,-1.999900
0.221700,-2.090800
0.228600,-1.848200
0.041800,-1.062700
-0.041600,-0.969100
0.004100,-1.715800
0.144300,-2.072800
0.077900,-2.122800
0.123700,-2.096000
0.120700,-2.076200
0.058800,-1.819100
-0.053100,-1.523700
-0.056900,-1.325000
-0.006300,-1.194100
0.030700,-1.036300
0.087100,-1.056300
0.114700,-1.123100
0.131300,-1.011400
0.152800,-0.922000
0.133000,-0.979000
0.115300,-1.073700
0.120900,-1.055600
0.167000,-1.194100
0.255400,-1.645800
0.323400,-1.851400
0.298000,-1.846800
0.330500,-2.019400
0.283300,-1.888200
0.291700,-1.248700
0.387100,-1.430000
0.317800,-1.755200
0.250700,-1.567100
0.299500,-1.461400
0.293700,-1.489800
0.183100,-1.072900
0.330600,-1.312100
0.373800,-1.758800
0.414700,-1.855100
0.342700,-1.987600
0.315800,-1.937300
0.291500,-1.859700
0.333700,-1.893600
0.367700,-2.064000
0.363100,-2.061400
0.330100,-1.950800
0.290500,-2.015000
0.314700,-2.090600
0.320000,-2.067200
0.293800,-2.009200
0.281200,-1.911700
0.295100,-1.845100
0.295100,-1.834900
0.313200,-1.853500
0.288800,-1.720000
0.249100,-1.401400
0.331300,-1.481000
0.259900,-1.703500
0.239200,-1.826900
0.188000,-1.684000
0.200300,-1.551000
0.215900,-1.522400
0.207600,-1.461300
0.260700,-1.426800
0.204800,-1.359700
0.108600,-0.894600
0.030800,-1.167600
0.036100,-1.283600
0.034900,-1.445200
0.048200,-1.602100
0.031800,-1.686600
0.028300,-1.644300
0.075300,-1.699900
0.070300,-1.593200
0.108300,-1.376200
0.056400,-1.518900
0.049500,-1.849800
0.093300,-1.764200
0.119600,-1.568800
0.103600,-1.774700
0.071800,-1.939300
0.127700,-1.998400
0.166100,-2.004200
0.104100,-2.075000
0.117500,-2.086700
0.095800,-2.104700
0.060800,-2.092400
0.072700,-2.048300
0.106200,-2.054500
0.120800,-1.997400
0.074500,-1.929400
0.102400,-1.995700
0.088600,-1.915000
0.066100,-1.776600
0.099600,-1.318400
0.039900,-0.938500
0.037300,-1.393100
0.030400,-1.769600
0.030800,-1.853900
0.102300,-1.594900
0.065200,-1.144800
0.015700,-1.166100
0.092300,-1.817000
0.079800,-2.052900
0.017900,-1.963800
0.030000,-1.931500
0.043100,-1.621400
0.039000,-1.260200
0.052500,-1.197500
0.068200,-1.176300
0.076500,-1.072700
0.046700,-0.959400
0.067900,-1.009600
0.093300,-1.005600
0.080100,-1.001100
0.083600,-1.022300
0.073100,-1.108900
0.030500,-1.130300
0.036200,-1.120400
0.037900,-1.076700
0.021400,-1.046000
-0.011000,-0.997000
0.086700,-1.135000
0.043200,-1.161700
0.054300,-1.182300
0.042800,-1.151600
0.015700,-1.093500
0.015500,-1.075500
-0.014600,-1.043200
0.058400,-0.880300
0.055500,-0.926400
0.090800,-0.941100
0.098400,-0.949400
0.070700,-0.961100
0.101900,-0.953400
0.056000,-1.079100
0.060400,-1.157600
0.074400,-1.176800
0.036900,-1.134600
0.013400,-1.128400
0.023900,-1.139700
0.084500,-0.997400
0.069600,-1.027300
0.077700,-1.012100
0.104800,-1.007000
0.092000,-0.995600
0.062700,-0.967000
0.116700,-0.941700
0.046800,-1.126800
0.067400,-1.125300
0.085000,-1.124100
0.081400,-1.124000
0.046800,-1.095600
0.013600,-1.081200
0.042800,-1.122900
